Genero,PersonaMayor,Socio,Dependientes,Permanencia,ServicioTelefonico,VariasLineas,ServicioInternet,SeguridadLinea,CopiaSeguridadLinea,ProteccionDispositivo,ServicioTecnico,ServicioTV,ServicioPeliculas,Contrato,FacturacionElectronica,MetodoPago,RecargoMensual,TotalRecargo,Abandono
Masculino,0,No,Si,45,Si,Si,Fibra Óptica,No,No,Si,No,Si,Si,dos anios,No,Transferencia bancaria (automática),99.7,4634.35,No
Femenino,0,No,No,3,No,Sin Servicio Telefónico,DSL,No,No,No,No,Si,No,Mensual,Si,Tarjeta de crédito (automática),34.8,113.95,No
Femenino,0,No,No,15,Si,No,Fibra Óptica,Si,No,Si,Si,Si,Si,Mensual,No,Cheque Electrónico,105.1,1582.75,Si
Femenino,0,No,Si,51,No,Sin Servicio Telefónico,DSL,Si,No,Si,Si,Si,Si,un anio,No,Transferencia bancaria (automática),60.15,3077.0,No
Femenino,0,No,No,60,Si,Si,DSL,Si,No,Si,Si,No,No,un anio,No,Cheque Electrónico,64.75,4039.5,No
Masculino,0,No,No,33,Si,Si,DSL,No,Si,No,No,No,No,Mensual,Si,Transferencia bancaria (automática),54.65,1665.2,No
Masculino,0,No,No,10,Si,No,Fibra Óptica,Si,Si,Si,Si,Si,Si,Mensual,Si,Cheque Electrónico,110.1,1043.3,Si
Masculino,1,No,No,26,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Tarjeta de crédito (automática),19.3,504.2,No
Femenino,0,No,No,6,Si,No,Fibra Óptica,No,No,Si,No,No,Si,Mensual,No,Cheque Electrónico,83.9,497.55,Si
Femenino,0,Si,No,67,Si,Si,Fibra Óptica,Si,No,Si,Si,Si,Si,un anio,Si,Cheque Electrónico,111.25,7511.65,No
Femenino,0,Si,Si,49,No,Sin Servicio Telefónico,DSL,Si,No,No,Si,No,No,un anio,Si,Tarjeta de crédito (automática),35.8,1782.0,No
Masculino,0,No,No,1,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,Si,Cheque por Correo,20.05,20.05,No
Femenino,1,No,No,7,Si,No,Fibra Óptica,No,No,Si,No,Si,No,Mensual,Si,Cheque Electrónico,84.35,609.65,No
Femenino,1,No,No,27,Si,Si,Fibra Óptica,Si,Si,Si,No,Si,Si,un anio,Si,Transferencia bancaria (automática),110.5,2857.6,No
Masculino,0,Si,Si,37,Si,No,Fibra Óptica,No,No,No,No,Si,Si,un anio,No,Tarjeta de crédito (automática),91.2,3247.55,No
Femenino,0,Si,Si,63,Si,Si,Fibra Óptica,Si,Si,Si,No,Si,No,Mensual,Si,Cheque Electrónico,100.55,6215.35,Si
Masculino,0,Si,Si,31,Si,Si,Fibra Óptica,Si,No,Si,Si,No,No,Mensual,No,Cheque Electrónico,89.3,2823.0,No
Masculino,0,Si,Si,50,Si,Si,Fibra Óptica,No,Si,Si,No,Si,Si,Mensual,Si,Transferencia bancaria (automática),103.85,5017.9,Si
Masculino,1,No,No,32,Si,Si,Fibra Óptica,No,No,Si,No,No,No,Mensual,Si,Tarjeta de crédito (automática),81.1,2619.25,No
Femenino,0,No,No,1,No,Sin Servicio Telefónico,DSL,No,No,No,No,No,No,Mensual,No,Cheque Electrónico,24.6,24.6,Si
Femenino,0,Si,No,63,Si,Si,Fibra Óptica,No,No,No,Si,No,No,un anio,Si,Tarjeta de crédito (automática),81.2,4965.1,No
Masculino,0,No,No,30,Si,Si,Fibra Óptica,Si,Si,No,No,No,Si,Mensual,Si,Tarjeta de crédito (automática),94.3,2679.7,No
Masculino,0,Si,No,71,Si,Si,Fibra Óptica,Si,Si,Si,Si,Si,Si,dos anios,Si,Transferencia bancaria (automática),116.1,8310.55,No
Femenino,0,No,No,53,Si,Si,Fibra Óptica,No,Si,Si,No,Si,Si,dos anios,No,Cheque Electrónico,105.55,5682.25,No
Femenino,0,No,No,12,Si,No,Fibra Óptica,Si,No,No,Si,Si,Si,Mensual,Si,Transferencia bancaria (automática),98.9,1120.95,Si
Masculino,0,Si,No,50,Si,Si,Fibra Óptica,Si,Si,No,No,No,Si,Mensual,Si,Tarjeta de crédito (automática),94.4,4914.9,No
Femenino,0,No,No,2,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,19.5,27.55,No
Femenino,0,No,No,9,Si,Si,Fibra Óptica,No,No,Si,No,Si,Si,Mensual,No,Tarjeta de crédito (automática),98.3,923.5,Si
Masculino,0,No,No,17,Si,No,Fibra Óptica,Si,No,No,No,Si,Si,Mensual,No,Cheque Electrónico,93.85,1625.65,Si
Femenino,0,Si,No,56,Si,No,Fibra Óptica,Si,Si,Si,No,Si,Si,un anio,Si,Tarjeta de crédito (automática),105.6,6068.65,No
Masculino,0,Si,Si,67,Si,No,DSL,Si,Si,Si,No,Si,Si,dos anios,No,Tarjeta de crédito (automática),81.35,5398.6,No
Masculino,1,No,No,9,Si,Si,Fibra Óptica,No,No,Si,No,Si,Si,Mensual,Si,Cheque Electrónico,100.5,918.6,Si
Masculino,0,No,No,4,Si,No,DSL,No,No,No,No,Si,No,Mensual,Si,Cheque Electrónico,56.4,234.85,No
Masculino,0,No,No,19,Si,No,DSL,No,Si,No,Si,No,Si,un anio,Si,Transferencia bancaria (automática),65.35,1231.85,No
Femenino,0,No,Si,8,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,19.95,170.9,No
Femenino,0,No,No,71,Si,Si,Fibra Óptica,No,Si,Si,Si,Si,Si,dos anios,Si,Cheque Electrónico,111.25,7984.15,No
Masculino,1,No,No,10,Si,No,Fibra Óptica,No,Si,No,No,No,No,Mensual,Si,Cheque Electrónico,72.85,688.65,Si
Femenino,1,No,No,15,Si,Si,Fibra Óptica,No,Si,No,No,Si,No,Mensual,No,Tarjeta de crédito (automática),89.0,1288.3,No
Masculino,0,Si,Si,72,Si,Si,Fibra Óptica,Si,No,Si,No,Si,Si,un anio,Si,Transferencia bancaria (automática),106.1,7848.5,No
Masculino,0,No,No,12,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Tarjeta de crédito (automática),20.05,267.0,No
Masculino,0,Si,Si,72,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,Si,Transferencia bancaria (automática),25.2,1798.9,No
Masculino,1,Si,No,1,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,73.55,73.55,Si
Femenino,1,No,No,23,Si,No,Fibra Óptica,Si,No,No,No,No,No,Mensual,Si,Transferencia bancaria (automática),75.4,1643.55,No
Masculino,0,No,No,72,No,Sin Servicio Telefónico,DSL,Si,Si,Si,Si,Si,Si,dos anios,Si,Transferencia bancaria (automática),65.55,4807.45,No
Femenino,0,No,No,26,Si,Si,Fibra Óptica,No,No,Si,No,No,No,Mensual,Si,Cheque Electrónico,80.7,2193.0,No
Femenino,0,No,No,21,Si,No,Fibra Óptica,No,Si,Si,Si,Si,Si,un anio,Si,Cheque por Correo,104.55,2239.4,No
Masculino,0,Si,No,60,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Transferencia bancaria (automática),24.15,1505.9,No
Masculino,0,No,No,12,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,20.45,255.35,No
Masculino,0,Si,No,16,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,75.4,1189.4,No
Femenino,0,Si,No,63,Si,Si,DSL,Si,Si,No,No,Si,Si,un anio,Si,Tarjeta de crédito (automática),79.7,4786.15,No
Femenino,1,No,No,22,Si,No,Fibra Óptica,Si,Si,No,No,No,No,Mensual,No,Cheque Electrónico,81.7,1820.9,No
Femenino,0,Si,Si,32,Si,No,DSL,Si,Si,Si,Si,No,Si,Mensual,No,Transferencia bancaria (automática),76.3,2404.15,No
Femenino,1,No,No,3,Si,Si,Fibra Óptica,No,Si,No,No,No,No,Mensual,Si,Cheque Electrónico,79.4,205.05,Si
Femenino,0,No,No,13,Si,No,Fibra Óptica,No,Si,Si,No,No,No,Mensual,Si,Cheque Electrónico,81.15,952.3,Si
Femenino,0,Si,Si,68,Si,Si,Fibra Óptica,No,Si,No,Si,Si,Si,dos anios,Si,Tarjeta de crédito (automática),103.75,7039.45,No
Femenino,0,Si,Si,30,Si,No,Fibra Óptica,No,No,Si,No,No,Si,un anio,No,Cheque Electrónico,86.45,2538.05,No
Femenino,0,No,No,16,Si,No,Fibra Óptica,No,Si,No,No,No,No,Mensual,No,Transferencia bancaria (automática),75.1,1212.85,No
Masculino,0,No,No,33,Si,No,Fibra Óptica,No,Si,No,Si,No,No,dos anios,No,Transferencia bancaria (automática),80.6,2651.1,No
Masculino,0,Si,No,72,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Tarjeta de crédito (automática),19.3,1304.8,No
Femenino,1,No,No,4,Si,Si,Fibra Óptica,No,No,No,No,No,Si,Mensual,Si,Cheque Electrónico,84.6,360.1,Si
Femenino,0,No,No,12,No,Sin Servicio Telefónico,DSL,Si,No,No,Si,No,No,un anio,Si,Cheque por Correo,33.6,435.45,No
Femenino,1,Si,No,4,Si,Si,Fibra Óptica,No,No,No,No,Si,No,Mensual,Si,Cheque Electrónico,83.25,308.05,No
Femenino,0,Si,Si,0,Si,No,DSL,Si,Si,Si,No,Si,Si,dos anios,No,Cheque por Correo,80.85,2283.3004408418656,No
Femenino,0,No,No,6,Si,Si,Fibra Óptica,Si,No,No,No,No,No,Mensual,Si,Cheque Electrónico,79.05,434.5,Si
Femenino,0,Si,No,65,Si,Si,Fibra Óptica,No,Si,Si,Si,Si,Si,un anio,Si,Tarjeta de crédito (automática),108.05,7118.9,No
Femenino,0,No,No,15,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,19.9,320.45,No
Femenino,0,No,Si,24,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Transferencia bancaria (automática),21.05,531.55,No
Femenino,0,No,Si,13,No,Sin Servicio Telefónico,DSL,No,Si,No,No,No,No,Mensual,No,Cheque Electrónico,30.15,382.2,No
Masculino,0,No,No,24,Si,No,Fibra Óptica,No,No,No,No,No,Si,Mensual,Si,Tarjeta de crédito (automática),79.85,2001.0,No
Femenino,0,Si,No,72,No,Sin Servicio Telefónico,DSL,Si,Si,Si,Si,Si,Si,dos anios,No,Transferencia bancaria (automática),65.5,4919.7,No
Femenino,0,Si,Si,54,Si,Si,Fibra Óptica,Si,Si,No,No,Si,Si,Mensual,Si,Transferencia bancaria (automática),104.1,5645.8,No
Femenino,0,No,No,3,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,No,Transferencia bancaria (automática),74.4,215.8,Si
Masculino,0,Si,Si,4,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,Si,Cheque por Correo,20.5,77.6,No
Femenino,1,Si,Si,32,Si,Si,Fibra Óptica,No,No,Si,No,Si,No,Mensual,Si,Cheque por Correo,91.35,2896.55,No
Masculino,1,No,No,35,Si,Si,Fibra Óptica,No,No,Si,No,Si,Si,Mensual,Si,Cheque Electrónico,99.05,3395.8,Si
Masculino,0,Si,Si,35,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Transferencia bancaria (automática),20.5,759.35,No
Masculino,1,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Cheque por Correo,44.95,85.15,Si
Femenino,0,No,No,8,Si,No,Fibra Óptica,No,Si,No,No,No,No,Mensual,No,Cheque Electrónico,75.6,535.55,No
Masculino,0,No,No,22,Si,No,DSL,Si,No,No,Si,No,No,Mensual,No,Cheque por Correo,55.1,1253.15,No
Femenino,0,No,No,15,Si,No,DSL,Si,No,Si,Si,No,No,Mensual,No,Cheque Electrónico,58.95,955.15,No
Masculino,0,No,No,22,Si,Si,Fibra Óptica,No,No,No,No,Si,Si,Mensual,Si,Cheque Electrónico,95.1,2162.6,No
Masculino,0,Si,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Tarjeta de crédito (automática),44.7,44.7,Si
Femenino,0,Si,Si,71,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Transferencia bancaria (automática),25.45,1813.35,No
Masculino,0,No,No,4,Si,No,DSL,Si,No,Si,No,No,No,Mensual,No,Cheque Electrónico,56.75,245.15,No
Masculino,0,No,No,25,Si,Si,DSL,Si,Si,Si,Si,No,Si,Mensual,No,Transferencia bancaria (automática),81.75,2028.8,No
Femenino,0,Si,Si,32,Si,No,Fibra Óptica,No,Si,No,No,Si,No,Mensual,Si,Cheque Electrónico,86.1,2723.75,No
Masculino,1,Si,No,7,No,Sin Servicio Telefónico,DSL,Si,No,No,No,No,No,Mensual,No,Transferencia bancaria (automática),29.8,220.45,No
Masculino,0,No,No,17,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,Si,Cheque por Correo,20.5,365.8,No
Masculino,1,Si,No,8,Si,No,DSL,Si,No,No,No,Si,No,Mensual,No,Transferencia bancaria (automática),60.9,551.95,No
Femenino,1,No,No,56,Si,Si,DSL,Si,No,Si,Si,No,Si,dos anios,No,Transferencia bancaria (automática),73.25,4054.2,No
Masculino,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque por Correo,45.7,45.7,Si
Masculino,1,No,No,8,Si,No,Fibra Óptica,Si,No,No,Si,Si,Si,Mensual,No,Tarjeta de crédito (automática),100.3,832.35,Si
Masculino,0,No,No,7,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque Electrónico,19.25,112.3,Si
Masculino,0,No,Si,3,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,20.85,60.65,No
Femenino,0,No,No,71,Si,No,DSL,Si,Si,Si,Si,Si,No,dos anios,No,Tarjeta de crédito (automática),77.35,5550.1,No
Femenino,0,No,No,2,Si,Si,Fibra Óptica,No,No,No,No,Si,Si,Mensual,Si,Cheque Electrónico,96.0,174.8,Si
Femenino,0,No,No,1,Si,No,Fibra Óptica,No,No,No,No,Si,Si,Mensual,No,Cheque Electrónico,90.55,90.55,Si
Masculino,0,Si,No,49,Si,Si,Fibra Óptica,Si,Si,No,No,Si,No,Mensual,Si,Transferencia bancaria (automática),93.85,4733.1,No
Masculino,0,No,No,58,Si,No,DSL,No,Si,Si,Si,Si,No,dos anios,No,Transferencia bancaria (automática),70.1,4048.95,No
Masculino,1,Si,No,44,No,Sin Servicio Telefónico,DSL,No,Si,No,No,No,No,Mensual,Si,Cheque Electrónico,30.35,1359.7,Si
Femenino,0,Si,Si,59,Si,No,DSL,No,Si,No,Si,Si,Si,dos anios,Si,Tarjeta de crédito (automática),75.95,4542.35,No
Masculino,0,No,No,71,Si,Si,Fibra Óptica,Si,No,Si,Si,Si,Si,dos anios,Si,Cheque Electrónico,108.05,7532.15,Si
Masculino,0,No,No,1,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,69.9,69.9,Si
Femenino,0,No,No,11,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,No,Cheque Electrónico,75.25,888.65,No
Masculino,1,Si,No,62,Si,Si,Fibra Óptica,No,Si,Si,No,Si,Si,un anio,Si,Cheque Electrónico,103.75,6383.35,Si
Femenino,0,Si,Si,35,Si,No,DSL,Si,No,No,Si,No,No,un anio,Si,Transferencia bancaria (automática),54.95,1916.0,No
Femenino,0,No,No,20,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,Si,Transferencia bancaria (automática),19.5,413.0,No
Masculino,0,Si,Si,40,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Cheque por Correo,19.6,808.95,No
Femenino,0,No,No,39,Si,No,DSL,Si,No,No,No,No,No,un anio,Si,Cheque Electrónico,47.85,1886.4,No
Masculino,0,No,No,1,Si,Si,Fibra Óptica,No,No,No,No,No,Si,Mensual,Si,Cheque Electrónico,86.6,86.6,Si
Femenino,0,Si,Si,72,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Transferencia bancaria (automática),23.75,1679.25,No
Femenino,1,Si,No,33,Si,Si,Fibra Óptica,No,Si,No,No,No,No,Mensual,Si,Transferencia bancaria (automática),80.6,2656.5,Si
Femenino,0,No,No,12,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Transferencia bancaria (automática),43.8,540.95,No
Masculino,0,No,No,1,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Transferencia bancaria (automática),19.75,19.75,No
Masculino,0,No,Si,27,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,19.15,537.35,No
Masculino,0,Si,Si,34,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Tarjeta de crédito (automática),19.6,678.8,No
Femenino,0,Si,No,56,Si,No,Fibra Óptica,Si,No,Si,No,No,No,dos anios,No,Transferencia bancaria (automática),80.3,4513.65,No
Femenino,0,No,No,58,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Tarjeta de crédito (automática),24.35,1423.85,No
Femenino,0,Si,Si,22,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Tarjeta de crédito (automática),25.25,555.4,No
Femenino,0,Si,Si,10,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Tarjeta de crédito (automática),26.1,225.55,No
Masculino,0,No,No,13,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Tarjeta de crédito (automática),20.0,268.45,No
Femenino,0,No,No,35,Si,Si,Fibra Óptica,No,Si,No,Si,No,No,Mensual,No,Tarjeta de crédito (automática),85.3,2917.5,Si
Femenino,0,No,No,34,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Tarjeta de crédito (automática),70.0,2416.1,Si
Femenino,1,No,No,4,Si,Si,Fibra Óptica,No,No,No,No,Si,Si,Mensual,Si,Cheque Electrónico,94.3,424.45,Si
Masculino,0,Si,No,72,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Transferencia bancaria (automática),20.7,1492.1,No
Masculino,0,No,No,2,Si,No,DSL,No,No,No,Si,Si,Si,Mensual,No,Cheque Electrónico,70.3,132.4,No
Femenino,0,No,No,7,Si,No,Fibra Óptica,No,No,Si,No,Si,Si,Mensual,Si,Cheque Electrónico,95.35,660.9,Si
Masculino,1,Si,No,27,Si,Si,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,75.5,1893.95,Si
Masculino,0,Si,Si,4,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque por Correo,69.55,284.9,No
Femenino,0,No,No,37,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Cheque por Correo,19.85,784.25,No
Masculino,0,No,No,21,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,20.0,417.7,No
Femenino,1,Si,No,53,Si,Si,Fibra Óptica,No,No,No,No,Si,Si,un anio,Si,Tarjeta de crédito (automática),95.85,5016.25,No
Femenino,0,No,No,18,Si,Si,Fibra Óptica,No,No,No,Si,No,Si,Mensual,Si,Cheque Electrónico,90.1,1612.75,Si
Femenino,0,No,No,2,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,No,Cheque Electrónico,68.95,119.75,Si
Masculino,0,Si,Si,32,Si,Si,Fibra Óptica,Si,No,No,No,Si,Si,Mensual,Si,Tarjeta de crédito (automática),99.55,3204.65,Si
Masculino,1,Si,No,23,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,Si,Cheque Electrónico,20.75,485.2,No
Masculino,0,No,No,3,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Cheque por Correo,50.15,160.85,No
Femenino,0,Si,Si,71,No,Sin Servicio Telefónico,DSL,Si,Si,No,Si,Si,Si,dos anios,No,Cheque por Correo,58.65,4145.25,No
Masculino,0,No,No,9,Si,No,Fibra Óptica,No,No,No,Si,Si,Si,Mensual,Si,Transferencia bancaria (automática),95.9,827.45,No
Femenino,0,No,No,1,Si,No,DSL,No,Si,No,No,No,No,Mensual,No,Cheque Electrónico,49.5,49.5,No
Masculino,0,Si,Si,18,Si,No,DSL,No,No,Si,No,No,Si,Mensual,No,Cheque Electrónico,57.45,990.85,Si
Masculino,0,Si,Si,12,Si,No,DSL,No,No,No,No,No,Si,un anio,No,Tarjeta de crédito (automática),53.65,696.35,Si
Masculino,0,Si,No,71,Si,Si,DSL,Si,Si,Si,Si,No,Si,dos anios,Si,Cheque por Correo,80.1,5585.4,No
Femenino,0,No,No,64,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,Si,Transferencia bancaria (automática),24.4,1601.2,No
Masculino,0,No,No,4,No,Sin Servicio Telefónico,DSL,No,No,No,Si,No,Si,Mensual,Si,Cheque Electrónico,40.05,162.45,No
Femenino,0,No,No,23,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,Si,Cheque por Correo,19.5,470.2,No
Femenino,0,Si,Si,39,Si,No,DSL,Si,No,No,No,No,No,Mensual,No,Tarjeta de crédito (automática),51.05,2066.0,No
Masculino,0,Si,No,28,Si,No,DSL,Si,No,No,Si,No,No,un anio,No,Cheque por Correo,54.35,1426.45,No
Femenino,1,No,No,5,Si,No,Fibra Óptica,No,Si,No,No,Si,No,Mensual,Si,Cheque Electrónico,84.7,392.5,No
Femenino,1,Si,No,45,Si,No,Fibra Óptica,No,No,Si,No,No,Si,Mensual,Si,Cheque Electrónico,86.1,3861.45,No
Masculino,0,No,No,37,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque por Correo,70.35,2552.9,No
Femenino,1,Si,No,60,Si,No,Fibra Óptica,Si,Si,Si,Si,Si,Si,dos anios,Si,Transferencia bancaria (automática),110.0,6668.35,No
Masculino,1,No,No,8,Si,Si,Fibra Óptica,No,No,Si,No,Si,Si,Mensual,Si,Cheque Electrónico,100.6,819.4,Si
Femenino,0,No,No,47,Si,Si,Fibra Óptica,Si,No,Si,No,Si,No,un anio,No,Tarjeta de crédito (automática),94.9,4615.25,No
Masculino,0,Si,Si,26,Si,Si,Fibra Óptica,No,No,No,No,Si,No,Mensual,Si,Cheque Electrónico,83.75,2070.6,Si
Femenino,1,Si,Si,3,Si,No,Fibra Óptica,Si,No,No,Si,Si,No,Mensual,Si,Cheque por Correo,88.3,273.75,Si
Femenino,0,Si,Si,50,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Transferencia bancaria (automática),69.75,3557.7,No
Masculino,0,Si,Si,27,Si,Si,DSL,No,No,No,Si,Si,Si,Mensual,No,Transferencia bancaria (automática),71.6,1957.1,No
Femenino,1,No,No,8,Si,No,Fibra Óptica,No,No,Si,No,Si,Si,Mensual,Si,Cheque Electrónico,92.1,729.95,Si
Femenino,0,Si,No,62,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Transferencia bancaria (automática),23.65,1416.75,No
Femenino,0,Si,No,71,Si,No,DSL,Si,No,Si,Si,Si,Si,dos anios,No,Transferencia bancaria (automática),81.85,5924.4,No
Masculino,0,No,No,66,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Cheque por Correo,25.1,1697.7,No
Masculino,0,Si,Si,68,Si,Si,Fibra Óptica,Si,Si,Si,Si,Si,Si,dos anios,Si,Transferencia bancaria (automática),114.7,7849.85,No
Femenino,0,No,No,13,No,Sin Servicio Telefónico,DSL,No,No,Si,No,Si,Si,Mensual,No,Cheque Electrónico,49.15,649.4,No
Masculino,0,Si,No,56,Si,No,Fibra Óptica,No,No,No,No,No,Si,un anio,Si,Cheque Electrónico,80.9,4557.5,No
Masculino,0,Si,No,38,Si,No,Fibra Óptica,Si,Si,No,No,No,No,Mensual,Si,Cheque Electrónico,79.45,3013.05,Si
Masculino,1,No,No,14,Si,No,Fibra Óptica,No,No,No,No,Si,Si,Mensual,No,Tarjeta de crédito (automática),90.45,1266.1,Si
